*1000Hz	-36.2

20.00	-1.9
20.55	-1.9
21.11	-1.9
21.69	-1.8
22.29	-1.8
22.90	-1.8
23.53	-1.7
24.18	-1.6
24.84	-1.5
25.52	-1.5
26.22	-1.4
26.94	-1.3
27.68	-1.2
28.44	-1.2
29.22	-1.1
30.03	-1.0
30.85	-1.0
31.70	-0.9
32.57	-0.8
33.46	-0.8
34.38	-0.7
35.33	-0.7
36.30	-0.6
37.29	-0.6
38.32	-0.6
39.37	-0.6
40.45	-0.6
41.56	-0.6
42.70	-0.5
43.87	-0.5
45.08	-0.5
46.32	-0.5
47.59	-0.5
48.90	-0.4
50.24	-0.4
51.62	-0.4
53.03	-0.4
54.49	-0.4
55.99	-0.4
57.52	-0.3
59.10	-0.3
60.73	-0.3
62.39	-0.3
64.11	-0.3
65.87	-0.3
67.68	-0.3
69.54	-0.3
71.44	-0.3
73.41	-0.3
75.42	-0.3
77.49	-0.3
79.62	-0.3
81.81	-0.3
84.05	-0.3
86.36	-0.3
88.73	-0.3
91.17	-0.3
93.67	-0.3
96.25	-0.3
98.89	-0.3
101.60	-0.3
104.39	-0.3
107.26	-0.3
110.21	-0.3
113.23	-0.3
116.34	-0.2
119.54	-0.2
122.82	-0.2
126.19	-0.2
129.66	-0.2
133.22	-0.1
136.87	-0.1
140.63	-0.1
144.50	-0.1
148.46	-0.1
152.54	-0.1
156.73	-0.1
161.03	-0.1
165.45	-0.2
170.00	-0.2
174.67	-0.3
179.46	-0.3
184.39	-0.4
189.45	-0.4
194.65	-0.5
200.00	-0.6
205.49	-0.6
211.13	-0.7
216.93	-0.7
222.89	-0.7
229.01	-0.7
235.30	-0.7
241.76	-0.6
248.40	-0.5
255.22	-0.4
262.23	-0.3
269.43	-0.1
276.83	0.0
284.43	0.0
292.24	0.2
300.26	0.3
308.51	0.5
316.98	0.6
325.68	0.8
334.63	0.9
343.81	1.0
353.26	1.0
362.96	1.0
372.92	1.0
383.16	0.9
393.68	0.8
404.49	0.8
415.60	0.7
427.01	0.5
438.74	0.4
450.79	0.2
463.17	0.1
475.88	-0.0
488.95	-0.1
502.38	-0.2
516.17	-0.3
530.35	-0.4
544.91	-0.4
559.87	-0.4
575.25	-0.4
591.04	-0.4
607.27	-0.4
623.95	-0.3
641.08	-0.2
658.68	-0.2
676.77	-0.2
695.35	-0.1
714.45	-0.0
734.07	0.0
754.22	0.1
774.94	0.1
796.21	0.1
818.08	0.1
840.54	0.0
863.62	0.0
887.34	0.0
911.70	0.0
936.74	0.0
962.46	0.0
988.89	0.0
1016.04	-0.0
1043.94	-0.0
1072.61	-0.0
1102.06	-0.0
1132.33	-0.1
1163.42	-0.1
1195.37	-0.1
1228.19	-0.1
1261.91	-0.1
1296.57	-0.2
1332.17	-0.2
1368.75	-0.3
1406.34	-0.3
1444.95	-0.4
1484.63	-0.4
1525.40	-0.5
1567.28	-0.5
1610.32	-0.6
1654.54	-0.6
1699.97	-0.7
1746.65	-0.7
1794.61	-0.8
1843.89	-0.8
1894.53	-0.9
1946.55	-0.9
2000.00	-0.9
2054.92	-0.9
2111.35	-0.9
2169.32	-0.9
2228.89	-0.9
2290.10	-0.9
2352.98	-0.9
2417.59	-0.8
2483.98	-0.7
2552.19	-0.6
2622.27	-0.5
2694.27	-0.3
2768.26	-0.2
2844.27	-0.2
2922.37	-0.0
3002.62	0.2
3085.07	0.3
3169.79	0.5
3256.83	0.7
3346.26	0.8
3438.14	0.8
3532.55	0.9
3629.56	0.9
3729.22	0.9
3831.62	0.9
3936.84	0.9
4044.94	0.9
4156.01	0.8
4270.14	0.8
4387.39	0.7
4507.87	0.5
4631.65	0.4
4758.83	0.3
4889.51	0.2
5023.77	0.1
5161.72	0.1
5303.46	0.1
5449.09	0.2
5598.72	0.3
5752.46	0.4
5910.42	0.7
6072.72	0.7
6239.47	1.2
6410.80	1.5
6586.84	1.5
6767.71	1.8
6953.55	2.0
7144.49	2.2
7340.67	2.4
7542.24	2.6
7749.35	2.8
7962.14	2.9
8180.78	3.0
8405.42	3.0
8636.23	3.1
8873.37	3.1
9117.03	3.1
9367.38	3.2
9624.61	3.2
9888.89	3.2
10160.44	3.2
10439.44	3.2
10726.10	3.2
11020.63	3.3
11323.25	3.4
11634.18	3.5
11953.65	3.6
12281.89	3.7
12619.15	3.7
12965.66	3.9
13321.69	4.1
13687.50	4.2
14063.35	4.3
14449.52	4.4
14846.30	4.5
15253.97	4.5
15672.84	4.5
16103.21	4.6
16545.39	4.8
16999.72	4.9
17466.52	4.9
17946.14	5.0
18438.94	5.0
18945.26	5.0
19465.49	5.1
20000.00	5.2
